/*
* Licencia con arreglo a la EUPL, Versión 1.2 o –en cuanto sean aprobadas por la
Comisión Europea– versiones posteriores de la EUPL (la «Licencia»);
* Solo podrá usarse esta obra si se respeta la Licencia.
* Puede obtenerse una copia de la Licencia en:
* http://joinup.ec.europa.eu/software/page/eupl/licence-eupl
* Salvo cuando lo exija la legislación aplicable o se acuerde por escrito, el programa
distribuido con arreglo a la Licencia se distribuye «TAL CUAL», SIN GARANTÍAS NI
CONDICIONES DE NINGÚN TIPO, ni expresas ni implícitas.
* Véase la Licencia en el idioma concreto que rige los permisos y limitaciones que
establece la Licencia.
*/




"pasaje  a","pasaje  a","pasaje a"
"autovía  a-1","autovía  a-1","autovía a-1"
"autovía  a-2","autovía  a-2","autovía a-2"
"autovía  a-3","autovía  a-3","autovía a-3"
"autovía  a-4","autovía  a-4","autovía a-4"
"autovía  a-42","autovía  a-42","autovía a-42"
"autovía  a-5","autovía  a-5","autovía a-5"
"autovía  a-6","autovía  a-6","autovía a-6"
"calle de la playa de poniente","calle de la playa de poniente","calle playa de poniente","playa de poniente"
"calle de la playa de riazor","calle de la playa de riazor","calle playa de riazor","playa de riazor"
"calle de la playa de san juan","calle de la playa de san juan","calle playa de san juan","playa de san juan"
"glorieta de la playa de san lorenzo","glorieta de la playa de san lorenzo","glorieta playa de san lorenzo"
"calle de playa de torimbia","calle de playa de torimbia","calle playa de torimbia","playa de torimbia"
"calle de la playa de zarauz","calle de la playa de zarauz","calle playa de zarauz","playa de zarauz"
"calle de la playa del sardinero","calle de la playa del sardinero","calle playa del sardinero","playa del sardinero"
"calle de la plaza","calle de la plaza","calle plaza","plaza"
"avenida de la plaza de toros","avenida de la plaza de toros","avenida plaza de toros"
"calle de la plaza mayor de salamanca","calle de la plaza mayor de salamanca","calle plaza mayor de salamanca","plaza mayor de salamanca"
"calle de la pleamar","calle de la pleamar","calle pleamar","pleamar"
"calle de pleites","calle de pleites","calle pleites","pleites"
"calle de las pléyades","calle de las pléyades","calle pléyades","pléyades"
"travesía de las pléyades","travesía de las pléyades","travesía pléyades"
"calle de la plomada","calle de la plomada","calle plomada","plomada"
"calle del plomo","calle del plomo","calle plomo","plomo"
"travesía del plomo","travesía del plomo","travesía plomo"
"calle del plus ultra","calle del plus ultra","calle plus ultra","plus ultra"
"calle de pobla de segur","calle de pobla de segur","calle pobla de segur","pobla de segur"
"calle de población de campos","calle de población de campos","calle población de campos","población de campos"
"avenida de los poblados","avenida de los poblados","avenida poblados"
"calle de pobladura del valle","calle de pobladura del valle","calle pobladura del valle","pobladura del valle"
"calle de las poderosas","calle de las poderosas","calle poderosas","poderosas"
"calle del poema sinfónico","calle del poema sinfónico","calle poema sinfónico","poema sinfónico"
"calle del poeta blas de otero","calle del poeta blas de otero","calle poeta blas de otero","poeta blas de otero"
"travesía del poeta blas de otero","travesía del poeta blas de otero","travesía poeta blas de otero"
"calle del poeta claudio rodríguez","calle del poeta claudio rodríguez","calle poeta claudio rodríguez","poeta claudio rodríguez"
"calle del poeta esteban de villegas","calle del poeta esteban de villegas","calle poeta esteban de villegas","poeta esteban de villegas"
"calle del poeta joan maragall","calle del poeta joan maragall","calle poeta joan maragall","poeta joan maragall"
"plaza del poeta leopoldo de luis","plaza del poeta leopoldo de luis","plaza poeta leopoldo de luis"
"plaza del poeta manuel del palacio","plaza del poeta manuel del palacio","plaza poeta manuel del palacio"
"plaza del poeta rioja","plaza del poeta rioja","plaza poeta rioja"
"calle de los poetas","calle de los poetas","calle poetas","poetas"
"calle de polán","calle de polán","calle polán","polán"
"calle del poleo","calle del poleo","calle poleo","poleo"
"calle de polibea","calle de polibea","calle polibea","polibea"
"paseo del polideportivo","paseo del polideportivo","paseo polideportivo"
"camino del polígono","camino del polígono","camino polígono"
"calle de polimnia","calle de polimnia","calle polimnia","polimnia"
"avenida de la politécnica","avenida de la politécnica","avenida politécnica"
"calle de polonia","calle de polonia","calle polonia","polonia"
"calle de polvoranca","calle de polvoranca","calle polvoranca","polvoranca"
"calle de ponce de león","calle de ponce de león","calle ponce de león","ponce de león"
"calle de ponciano","calle de ponciano","calle ponciano","ponciano"
"calle de ponferrada","calle de ponferrada","calle ponferrada","ponferrada"
"calle de poniente","calle de poniente","calle poniente","poniente"
"calle de pont de molins","calle de pont de molins","calle pont de molins","pont de molins"
"calle de ponteareas","calle de ponteareas","calle ponteareas","ponteareas"
"plaza de pontejos","plaza de pontejos","plaza pontejos"
"calle de pontevedra","calle de pontevedra","calle pontevedra","pontevedra"
"paseo de los pontones","paseo de los pontones","paseo pontones"
"calle de ponzano","calle de ponzano","calle ponzano","ponzano"
"calle del popayán","calle del popayán","calle popayán","popayán"
"calle  popular madrileña","calle  popular madrileña","calle popular madrileña","popular madrileña"
"calle de la porcelana","calle de la porcelana","calle porcelana","porcelana"
"calle de porfirio","calle de porfirio","calle porfirio","porfirio"
"calle de porta coeli","calle de porta coeli","calle porta coeli","porta coeli"
"calle del portal","calle del portal","calle portal","portal"
"calle del portal de belén","calle del portal de belén","calle portal de belén","portal de belén"
"calle de portalegre","calle de portalegre","calle portalegre","portalegre"
"calle de portalena","calle de portalena","calle portalena","portalena"
"calle de la portera del cura","calle de la portera del cura","calle portera del cura","portera del cura"
"calle de porthos","calle de porthos","calle porthos","porthos"
"calle del pórtico de la gloria","calle del pórtico de la gloria","calle pórtico de la gloria","pórtico de la gloria"
"pista de la portillera valdeleganar","pista de la portillera valdeleganar","pista portillera valdeleganar"
"camino del portillo","camino del portillo","camino portillo"
"calle del portillo de el pardo","calle del portillo de el pardo","calle portillo de el pardo","portillo de el pardo"
"calle de portomarín","calle de portomarín","calle portomarín","portomarín"
"avenida de portugal","avenida de portugal","avenida portugal"
"calle de portugalete","calle de portugalete","calle portugalete","portugalete"
"calle del porvenir","calle del porvenir","calle porvenir","porvenir"
"calle de la postal","calle de la postal","calle postal","postal"
"calle de las postas","calle de las postas","calle postas","postas"
"calle de postdam","calle de postdam","calle postdam","postdam"
"calle del postigo de san martín","calle del postigo de san martín","calle postigo de san martín","postigo de san martín"
"calle de la potasa","calle de la potasa","calle potasa","potasa"
"calle de potes","calle de potes","calle potes","potes"
"calle de potosí","calle de potosí","calle potosí","potosí"
"calle de la povedilla","calle de la povedilla","calle povedilla","povedilla"
"calle de poza de la sal","calle de poza de la sal","calle poza de la sal","poza de la sal"
"calle de las pozas","calle de las pozas","calle pozas","pozas"
"travesía de las pozas","travesía de las pozas","travesía pozas"
"calle del pozo","calle del pozo","calle pozo","pozo"
"camino del pozo","camino del pozo","camino pozo"
"camino del pozo del tío raimundo","camino del pozo del tío raimundo","camino pozo del tío raimundo"
"plaza del pozo del tío raimundo","plaza del pozo del tío raimundo","plaza pozo del tío raimundo"
"calle de pozoblanco","calle de pozoblanco","calle pozoblanco","pozoblanco"
"calle de pozohalcón","calle de pozohalcón","calle pozohalcón","pozohalcón"
"camino de pozuelo","camino de pozuelo","camino pozuelo"
"calle de pozuelo de zarzón","calle de pozuelo de zarzón","calle pozuelo de zarzón","pozuelo de zarzón"
"calle de pradales","calle de pradales","calle pradales","pradales"
"calle de prádena del rincón","calle de prádena del rincón","calle prádena del rincón","prádena del rincón"
"plaza de la pradera","plaza de la pradera","plaza pradera"
"glorieta de la pradera de corralillos","glorieta de la pradera de corralillos","glorieta pradera de corralillos"
"glorieta de la pradera de navalazor","glorieta de la pradera de navalazor","glorieta pradera de navalazor"
"glorieta de la pradera de navalusilla","glorieta de la pradera de navalusilla","glorieta pradera de navalusilla"
"glorieta de la pradera de navarrulaque","glorieta de la pradera de navarrulaque","glorieta pradera de navarrulaque"
"glorieta de la pradera de vaquerizas","glorieta de la pradera de vaquerizas","glorieta pradera de vaquerizas"
"plaza de la pradera del salceral","plaza de la pradera del salceral","plaza pradera del salceral"
"calle de pradillo","calle de pradillo","calle pradillo","pradillo"
"pasaje de pradillo","pasaje de pradillo","pasaje pradillo"
"calle del prado","calle del prado","calle prado","prado"
"paseo del prado","paseo del prado","paseo prado"
"calle de prado alegre","calle de prado alegre","calle prado alegre","prado alegre"
"calle de prado merinero","calle de prado merinero","calle prado merinero","prado merinero"
"calle del prado zurita","calle del prado zurita","calle prado zurita","prado zurita"
"calle de pradolongo","calle de pradolongo","calle pradolongo","pradolongo"
"calle de pradolonguillo","calle de pradolonguillo","calle pradolonguillo","pradolonguillo"
"calle de pradoluengo","calle de pradoluengo","calle pradoluengo","pradoluengo"
"glorieta de praga","glorieta de praga","glorieta praga"
"puente de praga","puente de praga","puente praga"
"calle del prat","calle del prat","calle prat","prat"
"calle de pravia","calle de pravia","calle pravia","pravia"
"calle de preciados","calle de preciados","calle preciados","preciados"
"callejón de preciados","callejón de preciados","callejón preciados","preciados"
"calle del preludio","calle del preludio","calle preludio","preludio"
"calle de la prensa","calle de la prensa","calle prensa","prensa"
"plaza del presidente cárdenas","plaza del presidente cárdenas","plaza presidente cárdenas"
"avenida del presidente carmona","avenida del presidente carmona","avenida presidente carmona"
"glorieta del presidente garcía moreno","glorieta del presidente garcía moreno","glorieta presidente garcía moreno"
"calle del pretil de los consejos","calle del pretil de los consejos","calle pretil de los consejos","pretil de los consejos"
"calle del pretil de santisteban","calle del pretil de santisteban","calle pretil de santisteban","pretil de santisteban"
"calle de priego","calle de priego","calle priego","priego"
"calle de prieto ureña","calle de prieto ureña","calle prieto ureña","prieto ureña"
"calle de prim","calle de prim","calle prim","prim"
"calle de la primavera","calle de la primavera","calle primavera","primavera"
"travesía de la primavera","travesía de la primavera","travesía primavera"
"calle de la primavera de praga","calle de la primavera de praga","calle primavera de praga","primavera de praga"
"avenida  primera","avenida  primera","avenida primera"
"calle  primera","calle  primera","calle primera","primera"
"calle de primitiva gañán","calle de primitiva gañán","calle primitiva gañán","primitiva gañán"
"calle de la prímula","calle de la prímula","calle prímula","prímula"
"calle de la princesa","calle de la princesa","calle princesa","princesa"
"puente de la princesa","puente de la princesa","puente princesa"
"calle de la princesa de éboli","calle de la princesa de éboli","calle princesa de éboli","princesa de éboli"
"calle de la princesa de kapurtala","calle de la princesa de kapurtala","calle princesa de kapurtala","princesa de kapurtala"
"avenida de la princesa juana de austria","avenida de la princesa juana de austria","avenida princesa juana de austria"
"calle de la princesa micomicona","calle de la princesa micomicona","calle princesa micomicona","princesa micomicona"
"calle del principado","calle del principado","calle principado","principado"
"avenida  principal","avenida  principal","avenida principal"
"calle  principal","calle  principal","calle principal","principal"
"calle  principal de provincias","calle  principal de provincias","calle principal de provincias","principal de provincias"
"calle del príncipe","calle del príncipe","calle príncipe","príncipe"
"camino del príncipe","camino del príncipe","camino príncipe"
"plaza del príncipe alfonso","plaza del príncipe alfonso","plaza príncipe alfonso"
"calle del príncipe anglona","calle del príncipe anglona","calle príncipe anglona","príncipe anglona"
"calle del príncipe carlos","calle del príncipe carlos","calle príncipe carlos","príncipe carlos"
"calle del príncipe de asturias","calle del príncipe de asturias","calle príncipe de asturias","príncipe de asturias"
